================================================================================
ЖУРНАЛ ПРОВЕТРИВАНИЯ
Шахта: им. Костенко
Дата: 20 октября 2023 г.
================================================================================

| № п/п | Выработка | Тип | Сечение, м² | Длина, м | Расход воздуха, м³/мин | Скорость, м/с |
|-------|-----------|-----|-------------|----------|------------------------|---------------|
| 1 | ВШ 48К3-з | Вентиляционный штрек | 14.0 | 1250 | 1568 | 1.87 |
| 2 | КШ 47К3-з | Конвейерный штрек | 14.0 | 1200 | 1943 | 2.31 |
| 3 | Лава 48К3-з | Очистной забой | 8.79 | 220 | 2080 | 3.94 |
| 4 | КШ 48К3-з | Конвейерный штрек | 14.0 | 1250 | 1728 | 2.06 |
| 5 | Сбойка №13 | Сбойка | 6.0 | 25 | 244 | 0.68 |
| 6 | ВШ 49К3-з | Вентиляционный штрек | 12.0 | 1100 | 3612 | 5.02 |
| 7 | ВШ 42К2-в | Вентиляционный штрек | 10.0 | 800 | 674 | 1.12 |
| 8 | Лава 42К2-в | Очистной забой | 8.0 | 180 | 654 | 1.36 |
| 9 | КШ 42К2-в | Конвейерный штрек | 10.0 | 800 | 1308 | 2.18 |

================================================================================
