================================================================================
ЖУРНАЛ ПРОВЕТРИВАНИЯ
Шахта: им. Костенко
Дата: 20 октября 2023 г.
================================================================================

| № п/п | Выработка | Сечение, м² | Расход воздуха, м³/мин | Скорость, м/с | CH4, % | Примечание |
|-------|-----------|-------------|------------------------|---------------|--------|------------|
| 1 | ВШ 48К3-з | 14.0 | 1568 | 1.87 | 0.05 | |
| 2 | КШ 47К3-з | 14.0 | 1943 | 2.31 | 0.08 | |
| 3 | Лава 48К3-з | 8.79 | 2080 | 3.94 | 0.12 | |
| 4 | КШ 48К3-з | 14.0 | 1728 | 2.06 | 0.72 | |
| 5 | Сбойка №13 | 6.0 | 244 | 0.68 | 0.05 | |
| 6 | ВШ 42К2-в | 10.0 | 674 | 1.12 | 0.03 | |
| 7 | Лава 42К2-в | 8.0 | 654 | 1.36 | 0.08 | |
| 8 | КШ 42К2-в | 10.0 | 1308 | 2.18 | 0.15 | |

================================================================================
